20:23:20.424 -> A, B, C
20:25:03.746 -> 1080, 1014, 803
20:25:03.812 -> 1080, 1016, 802
20:25:03.845 -> 1083, 1015, 800
20:25:03.912 -> 1082, 1013, 808
20:25:03.978 -> 1079, 1020, 799
20:25:04.012 -> 1083, 1021, 801
20:25:04.078 -> 1081, 1016, 800
20:25:04.111 -> 1081, 1015, 802
20:25:04.178 -> 1080, 1014, 799
20:25:04.211 -> 1084, 1018, 799
20:25:04.277 -> 1081, 1017, 802
20:25:04.311 -> 1079, 1014, 798
20:25:04.377 -> 1082, 1016, 801
20:25:04.411 -> 1078, 1015, 803
20:25:04.477 -> 1080, 1013, 803
20:25:04.510 -> 1084, 1016, 804
20:25:04.577 -> 1087, 1017, 804
20:25:04.610 -> 1083, 1015, 800
20:25:04.676 -> 1083, 1015, 802
20:25:04.743 -> 1083, 1016, 802
20:25:04.776 -> 1082, 1016, 799
20:25:04.843 -> 1084, 1017, 803
20:25:04.876 -> 1084, 1015, 799
20:25:04.942 -> 1044, 1015, 796
20:25:04.976 -> 1082, 1015, 802
20:25:05.042 -> 1081, 1017, 805
20:25:05.076 -> 1086, 1017, 801
20:25:05.142 -> 1082, 1015, 804
20:25:05.175 -> 1083, 1017, 805
20:25:05.242 -> 1085, 1013, 799
20:25:05.275 -> 1082, 1013, 797
20:25:05.342 -> 1082, 1016, 804
20:25:05.408 -> 1082, 1014, 798
20:25:05.442 -> 1086, 1014, 802
20:25:05.508 -> 1082, 1013, 804
20:25:05.541 -> 1082, 1017, 801
20:25:05.608 -> 1079, 1013, 801
20:25:05.641 -> 1081, 1016, 802
20:25:05.707 -> 1081, 1014, 809
20:25:05.741 -> 1084, 1014, 801
20:25:05.807 -> 1085, 1015, 801
20:25:05.840 -> 1082, 1012, 802
20:25:05.907 -> 1081, 1014, 799
20:25:05.940 -> 1082, 1014, 806
20:25:06.007 -> 1083, 1017, 800
20:25:06.040 -> 1080, 1021, 801
20:25:06.106 -> 1083, 1018, 802
20:25:06.173 -> 1089, 1017, 800
20:25:06.206 -> 1086, 1014, 803
20:25:06.273 -> 1082, 1013, 805
20:25:06.306 -> 1087, 1014, 800
20:25:06.372 -> 1086, 1016, 800
20:25:06.406 -> 1080, 1015, 801
20:25:06.472 -> 1078, 1015, 803
20:25:06.506 -> 1079, 1014, 804
20:25:06.572 -> 1084, 1014, 802
20:25:06.605 -> 1082, 1017, 807
20:25:06.672 -> 1082, 1014, 800
20:25:06.705 -> 1082, 1013, 801
20:25:06.772 -> 1085, 1018, 800
20:25:06.805 -> 1085, 1015, 800
20:25:06.872 -> 1082, 1012, 804
20:25:06.938 -> 1084, 1010, 803
20:25:06.971 -> 1084, 1016, 798
20:25:07.038 -> 1086, 1016, 803
20:25:07.071 -> 1084, 1015, 799
20:25:07.138 -> 1085, 1016, 802
20:25:07.171 -> 1080, 1016, 803
20:25:07.237 -> 1082, 1014, 801
20:25:07.271 -> 1082, 1017, 803
20:25:07.337 -> 1085, 1014, 801
20:25:07.370 -> 1079, 1017, 802
20:25:07.437 -> 1086, 1036, 801
20:25:07.470 -> 1079, 1016, 802
20:25:07.536 -> 1079, 1014, 802
20:25:07.570 -> 1086, 1016, 802
20:25:07.636 -> 1081, 1016, 801
20:25:07.703 -> 1080, 1016, 802
20:25:07.736 -> 1091, 1016, 802
20:25:07.802 -> 1079, 1013, 804
20:25:07.835 -> 1082, 1016, 804
20:25:07.902 -> 1085, 1013, 804
20:25:07.935 -> 1080, 1015, 805
20:25:08.002 -> 1082, 1013, 802
20:25:08.035 -> 1082, 1014, 794
20:25:08.101 -> 1086, 1018, 801
20:25:08.135 -> 1167, 1013, 806
20:25:08.201 -> 1095, 1006, 804
20:25:08.234 -> 1080, 1014, 798
20:25:08.301 -> 1087, 1014, 799
20:25:08.334 -> 1085, 1014, 803
20:25:08.401 -> 1082, 1015, 804
20:25:08.467 -> 1081, 1016, 802
20:25:08.500 -> 1079, 1016, 802
20:25:08.567 -> 1084, 1018, 803
20:25:08.600 -> 1082, 1013, 807
20:25:08.667 -> 1082, 1014, 799
20:25:08.700 -> 1086, 1013, 803
20:25:08.766 -> 1083, 1014, 802
20:25:08.800 -> 1084, 1014, 802
20:25:08.866 -> 1081, 1017, 803
20:25:08.899 -> 1082, 1015, 803
20:25:08.966 -> 1082, 1014, 800
20:25:08.999 -> 1086, 1011, 797
20:25:09.065 -> 1083, 1019, 800
20:25:09.099 -> 1085, 1014, 801
20:25:09.165 -> 1081, 1018, 802
20:25:09.232 -> 1082, 1015, 801
20:25:09.265 -> 1076, 1013, 804
20:25:09.331 -> 1083, 1012, 803
20:25:09.364 -> 1085, 1015, 801
20:25:09.431 -> 1078, 1013, 803
20:25:09.464 -> 1075, 1021, 804
20:25:09.531 -> 1082, 1018, 802
20:25:09.564 -> 1083, 1014, 807
20:25:09.630 -> 1082, 1015, 805
20:25:09.664 -> 1085, 1014, 802
20:25:09.730 -> 1069, 1019, 808
20:25:09.763 -> 1084, 1018, 799
20:25:09.829 -> 1080, 1014, 802
20:25:09.863 -> 1083, 1015, 801
20:25:09.929 -> 1077, 1015, 804
20:25:09.996 -> 1080, 1016, 801
20:25:10.029 -> 1085, 1015, 799
20:25:10.095 -> 999, 1018, 805
20:25:10.129 -> 1082, 1014, 803
20:25:10.195 -> 1080, 1013, 805
20:25:10.228 -> 1081, 1014, 802
20:25:10.295 -> 1082, 1015, 801
20:25:10.328 -> 1083, 1014, 802
20:25:10.395 -> 1081, 1013, 803
20:25:10.428 -> 1080, 1013, 804
20:25:10.495 -> 1082, 1013, 805
20:25:10.528 -> 1084, 1016, 805
20:25:10.594 -> 1086, 1015, 801
20:25:10.661 -> 1084, 1017, 801
20:25:10.694 -> 1083, 1015, 804
20:25:10.761 -> 1085, 1015, 801
20:25:10.794 -> 1084, 1014, 802
20:25:10.860 -> 1083, 1017, 803
20:25:10.893 -> 1084, 1013, 802
20:25:10.960 -> 1083, 1016, 802
20:25:10.993 -> 1082, 1014, 801
20:25:11.060 -> 1083, 1014, 805
20:25:11.093 -> 1087, 1017, 801
20:25:11.159 -> 1078, 1017, 802
20:25:11.193 -> 1089, 1014, 804
20:25:11.259 -> 1079, 1016, 805
20:25:11.292 -> 1087, 1017, 804
20:25:11.359 -> 1078, 1015, 803
20:25:11.425 -> 1078, 1015, 799
20:25:11.458 -> 1085, 1012, 802
20:25:11.525 -> 1040, 1014, 805
20:25:11.558 -> 1084, 1014, 800
20:25:11.625 -> 1084, 1017, 803
20:25:11.658 -> 1081, 1018, 802
20:25:11.725 -> 1071, 1014, 804
20:25:11.758 -> 1085, 1017, 804
20:25:11.824 -> 1079, 1016, 805
20:25:11.857 -> 1081, 1015, 802
20:25:11.924 -> 1085, 1014, 805
20:25:11.957 -> 1082, 1017, 803
20:25:12.024 -> 1081, 1015, 806
20:25:12.057 -> 1085, 1015, 804
20:25:12.123 -> 1081, 1014, 804
20:25:12.190 -> 1083, 1018, 802
20:25:12.223 -> 1079, 1013, 803
20:25:12.289 -> 1084, 1014, 804
20:25:12.322 -> 1086, 1017, 801
20:25:12.389 -> 1082, 1015, 800
20:25:12.422 -> 1081, 1022, 801
20:25:12.488 -> 1078, 1018, 806
20:25:12.522 -> 1087, 1015, 801
20:25:12.588 -> 1083, 1015, 800
20:25:12.621 -> 1078, 1017, 803
20:25:12.688 -> 1086, 1007, 802
20:25:12.721 -> 1083, 1014, 801
20:25:12.787 -> 1085, 1015, 806
20:25:12.821 -> 1083, 1015, 800
20:25:12.887 -> 1083, 1014, 802
20:25:12.954 -> 1085, 1015, 805
20:25:12.987 -> 1085, 1016, 803
20:25:13.053 -> 1082, 1015, 803
20:25:13.087 -> 895, 1027, 815
20:25:13.153 -> 1080, 1018, 810
20:25:13.186 -> 1088, 1014, 801
20:25:13.253 -> 1086, 1017, 806
20:25:13.286 -> 1092, 1014, 802
20:25:13.352 -> 1084, 1014, 801
20:25:13.385 -> 1084, 1014, 803
20:25:13.452 -> 1082, 1017, 804
20:25:13.485 -> 1084, 1016, 802
20:25:13.551 -> 1085, 1015, 803
20:25:13.617 -> 1078, 1016, 802
20:25:13.651 -> 1085, 1014, 802
20:25:13.717 -> 1083, 1007, 801
20:25:13.750 -> 1081, 1017, 805
20:25:13.817 -> 1085, 1012, 804
20:25:13.850 -> 1080, 1015, 802
20:25:13.916 -> 1082, 1014, 806
20:25:13.950 -> 1102, 1017, 800
20:25:14.016 -> 1084, 1015, 804
20:25:14.049 -> 1078, 1021, 803
20:25:14.115 -> 1066, 1014, 801
20:25:14.149 -> 1082, 1015, 803
20:25:14.215 -> 1081, 1014, 803
20:25:14.281 -> 1082, 1013, 800
20:25:14.314 -> 1074, 1016, 804
20:25:14.381 -> 1080, 1012, 804
20:25:14.414 -> 1086, 1013, 801
20:25:14.480 -> 1083, 1014, 805
20:25:14.513 -> 1085, 1014, 804
20:25:14.580 -> 1084, 1016, 802
20:25:14.613 -> 1085, 1014, 803
20:25:14.679 -> 1121, 1013, 802
20:25:14.712 -> 1085, 1015, 804
20:25:14.779 -> 1082, 1014, 803
20:25:14.812 -> 1084, 1014, 804
20:25:14.878 -> 1082, 1017, 804
20:25:14.911 -> 1079, 1011, 803
20:25:14.978 -> 1085, 1014, 802
20:25:15.044 -> 1087, 1014, 802
20:25:15.078 -> 1087, 1018, 801
20:25:15.144 -> 1082, 1014, 803
20:25:15.177 -> 1076, 1019, 802
20:25:15.244 -> 1082, 1011, 800
20:25:15.277 -> 1086, 1014, 810
20:25:15.344 -> 1084, 1012, 802
20:25:15.377 -> 1083, 1018, 802
20:25:15.443 -> 1083, 1017, 802
20:25:15.476 -> 1085, 1015, 809
20:25:15.543 -> 1150, 1013, 803
20:25:15.576 -> 1075, 1026, 808
20:25:15.642 -> 1074, 1010, 803
20:25:15.709 -> 1081, 1013, 804
20:25:15.742 -> 1086, 1013, 802
20:25:15.808 -> 1081, 1013, 798
20:25:15.842 -> 1082, 1014, 800
20:25:15.908 -> 1082, 1013, 809
20:25:15.941 -> 1074, 1015, 801
20:25:16.008 -> 1080, 1018, 801
20:25:16.041 -> 1082, 1013, 802
20:25:16.108 -> 1085, 1017, 803
20:25:16.141 -> 1084, 1014, 803
20:25:16.207 -> 1082, 1009, 805
20:25:16.241 -> 1084, 1013, 805
20:25:16.307 -> 1080, 1014, 805
20:25:16.340 -> 1083, 1011, 804
20:25:16.407 -> 1079, 1015, 803
20:25:16.473 -> 1085, 1017, 805
20:25:16.507 -> 1081, 1014, 805
20:25:16.573 -> 1080, 1015, 802
20:25:16.606 -> 1079, 1014, 801
20:25:16.673 -> 1086, 1017, 804
20:25:16.706 -> 1081, 1016, 804
20:25:16.773 -> 1078, 1017, 801
20:25:16.806 -> 1082, 1014, 803
20:25:16.873 -> 1084, 1016, 802
20:25:16.906 -> 1085, 999, 802
20:25:16.972 -> 1084, 1013, 805
20:25:17.006 -> 1083, 1009, 803
20:25:17.072 -> 1082, 1014, 804
20:25:17.105 -> 1087, 1013, 802
20:25:17.172 -> 1083, 1013, 804
20:25:17.238 -> 1086, 1013, 802
20:25:17.271 -> 1075, 1017, 806
20:25:17.338 -> 1081, 1013, 805
20:25:17.371 -> 1082, 1011, 801
20:25:17.438 -> 1079, 1014, 805
20:25:17.471 -> 1080, 1014, 804
20:25:17.537 -> 1081, 1013, 803
20:25:17.571 -> 1081, 1014, 804
20:25:17.637 -> 1086, 1015, 802
20:25:17.670 -> 1084, 1014, 802
20:25:17.737 -> 1082, 1021, 804
20:25:17.770 -> 1083, 1016, 803
20:25:17.837 -> 1079, 1012, 803
20:25:17.870 -> 1083, 1013, 804
20:25:17.936 -> 1085, 1013, 805
20:25:18.003 -> 1082, 1014, 801
20:25:18.036 -> 1087, 1016, 805
20:25:18.103 -> 1082, 1018, 804
20:25:18.136 -> 1080, 1015, 804
20:25:18.203 -> 1084, 1013, 804
20:25:18.236 -> 1082, 1014, 806
20:25:18.302 -> 1081, 1014, 804
20:25:18.336 -> 1083, 1015, 802
20:25:18.402 -> 1081, 1014, 802
20:25:18.436 -> 1084, 1015, 802
20:25:18.502 -> 1082, 1014, 808
20:25:18.535 -> 1081, 1015, 804
20:25:18.602 -> 1082, 1014, 802
20:25:18.635 -> 1077, 1014, 804
20:25:18.702 -> 1084, 1016, 801
20:25:18.768 -> 1081, 1014, 802
20:25:18.801 -> 1084, 1013, 800
20:25:18.868 -> 1084, 1016, 805
20:25:18.901 -> 1085, 1012, 804
20:25:18.968 -> 1082, 1013, 805
20:25:19.001 -> 1019, 1014, 805
20:25:19.067 -> 1078, 1038, 805
20:25:19.101 -> 1085, 1014, 802
20:25:19.167 -> 1082, 1017, 802
20:25:19.201 -> 1070, 1017, 801
20:25:19.267 -> 1081, 1014, 801
20:25:19.300 -> 1079, 1012, 800
20:25:19.367 -> 1082, 1015, 803
20:25:19.400 -> 1084, 1013, 802
20:25:19.467 -> 1081, 1018, 800
20:25:19.533 -> 1085, 1017, 801
20:25:19.567 -> 1082, 1014, 802
20:25:19.633 -> 1082, 1021, 802
20:25:19.666 -> 1080, 1014, 800
20:25:19.733 -> 1082, 1013, 804
20:25:19.766 -> 1081, 1014, 805
20:25:19.833 -> 1080, 1013, 803
20:25:19.866 -> 1078, 1009, 801
20:25:19.933 -> 1084, 1017, 803
20:25:19.966 -> 1079, 1013, 800
20:25:20.032 -> 1082, 1017, 805
20:25:20.066 -> 1083, 1013, 802
20:25:20.132 -> 1078, 1013, 803
20:25:20.165 -> 1082, 1014, 802
20:25:20.232 -> 1107, 1016, 802
20:25:20.299 -> 1085, 1013, 804
20:25:20.332 -> 1083, 1029, 805
20:25:20.398 -> 1082, 1015, 802
20:25:20.432 -> 1080, 1015, 800
20:25:20.498 -> 983, 1017, 808
20:25:20.532 -> 1083, 1014, 805
20:25:20.598 -> 1082, 1012, 801
20:25:20.631 -> 1082, 1014, 808
20:25:20.698 -> 1079, 1019, 804
20:25:20.731 -> 1080, 1014, 805
20:25:20.798 -> 1082, 1015, 806
20:25:20.831 -> 1081, 1015, 803
20:25:20.898 -> 1083, 1021, 803
20:25:20.931 -> 1084, 1014, 802
20:25:20.997 -> 1080, 1017, 801
20:25:21.064 -> 1079, 1016, 804
20:25:21.097 -> 1081, 1016, 804
20:25:21.164 -> 1081, 1033, 800
20:25:21.197 -> 1082, 1014, 803
20:25:21.263 -> 1084, 1017, 803
20:25:21.297 -> 1083, 1011, 812
20:25:21.363 -> 1078, 1012, 802
20:25:21.397 -> 1075, 1020, 803
20:25:21.463 -> 1083, 1014, 801
20:25:21.496 -> 1074, 1014, 804
20:25:21.563 -> 1083, 1016, 804
20:25:21.596 -> 1084, 1014, 803
20:25:21.663 -> 1079, 1014, 804
20:25:21.696 -> 1077, 1013, 804
20:25:21.763 -> 1086, 1016, 802
20:25:21.829 -> 1083, 1012, 801
20:25:21.862 -> 1085, 1017, 801
20:25:21.929 -> 1081, 1013, 802
20:25:21.962 -> 1083, 1010, 803
20:25:22.029 -> 1082, 1013, 800
20:25:22.062 -> 1083, 1013, 826
20:25:22.128 -> 1080, 1009, 803
20:25:22.162 -> 1081, 1014, 805
20:25:22.228 -> 1084, 1013, 802
20:25:22.261 -> 1082, 1017, 802
20:25:22.328 -> 1076, 1013, 804
20:25:22.361 -> 1080, 1008, 807
20:25:22.428 -> 1085, 1019, 805
20:25:22.461 -> 1082, 1014, 804
20:25:22.528 -> 1079, 1013, 802
20:25:22.594 -> 1084, 1015, 803
20:25:22.627 -> 1079, 1011, 800
20:25:22.694 -> 1082, 1014, 803
20:25:22.727 -> 1074, 1015, 803
20:25:22.794 -> 1084, 1017, 801
20:25:22.827 -> 1084, 1013, 804
20:25:22.893 -> 1081, 1016, 803
20:25:22.927 -> 1082, 1012, 806
20:25:22.993 -> 1086, 1013, 803
20:25:23.026 -> 1086, 1017, 802
20:25:23.093 -> 1084, 1017, 804
20:25:23.126 -> 1079, 1014, 798
20:25:23.193 -> 1079, 1018, 802
20:25:23.226 -> 1079, 1014, 799
20:25:23.293 -> 1080, 1013, 806
20:25:23.359 -> 1202, 1013, 807
20:25:23.393 -> 1084, 1017, 806
20:25:23.459 -> 1086, 1017, 801
20:25:23.492 -> 1085, 983, 799
20:25:23.559 -> 1086, 1015, 801
20:25:23.594 -> 1082, 1011, 805
20:25:23.659 -> 1082, 1014, 805
20:25:23.692 -> 1084, 1015, 806
20:25:23.758 -> 1121, 1009, 807
20:25:23.791 -> 1084, 1013, 799
20:25:23.858 -> 1076, 1015, 806
20:25:23.891 -> 1084, 1014, 804
20:25:23.958 -> 1081, 1014, 806
20:25:23.991 -> 1084, 1012, 804
20:25:24.058 -> 1082, 1014, 804
20:25:24.124 -> 1083, 1017, 806
20:25:24.158 -> 1084, 1013, 800
20:25:24.224 -> 1082, 1015, 802
20:25:24.257 -> 1085, 1016, 805
20:25:24.324 -> 1082, 1010, 805
20:25:24.357 -> 1083, 1016, 801
20:25:24.424 -> 1083, 1017, 802
20:25:24.457 -> 1083, 1015, 804
20:25:24.524 -> 1083, 1018, 804
20:25:24.557 -> 1082, 1014, 806
20:25:24.624 -> 1084, 1034, 804
20:25:24.657 -> 1088, 1014, 804
20:25:24.723 -> 1087, 1075, 802
20:25:24.756 -> 1086, 1017, 804
20:25:24.823 -> 1085, 1013, 803
20:25:24.890 -> 1083, 1012, 806
20:25:24.923 -> 1085, 1013, 805
20:25:24.989 -> 1083, 1011, 805
20:25:25.023 -> 1086, 1034, 805
20:25:25.089 -> 1083, 1017, 802
20:25:25.122 -> 1082, 1013, 802
20:25:25.189 -> 1091, 1017, 803
20:25:25.222 -> 1079, 1017, 798
20:25:25.289 -> 1086, 1013, 803
20:25:25.322 -> 1078, 1016, 803
20:25:25.389 -> 1082, 1016, 801
20:25:25.422 -> 1082, 1036, 803
20:25:25.488 -> 1082, 1016, 805
20:25:25.521 -> 1082, 1013, 804
20:25:25.588 -> 1086, 1016, 805
20:25:25.621 -> 1086, 1014, 803
20:25:25.688 -> 1085, 1015, 802
20:25:25.754 -> 1078, 1017, 803
20:25:25.788 -> 1114, 1013, 803
20:25:25.854 -> 1079, 1017, 804
20:25:25.887 -> 1082, 1013, 804
20:25:25.954 -> 1082, 1009, 802
20:25:25.987 -> 1085, 1017, 805
20:25:26.054 -> 1082, 1017, 802
20:25:26.087 -> 1081, 1017, 804
20:25:26.154 -> 1084, 1015, 802
20:25:26.187 -> 1084, 1014, 802
20:25:26.253 -> 1085, 1015, 806
20:25:26.287 -> 1081, 1013, 800
20:25:26.353 -> 1087, 1014, 804
20:25:26.386 -> 1098, 1014, 805
20:25:26.453 -> 1082, 1017, 805
20:25:26.519 -> 1084, 1017, 803
20:25:26.553 -> 1081, 1016, 802
20:25:26.619 -> 1083, 1015, 803
20:25:26.653 -> 1077, 1014, 802
20:25:26.719 -> 1084, 1015, 806
20:25:26.752 -> 1086, 1018, 807
20:25:26.819 -> 1086, 1015, 802
20:25:26.852 -> 1082, 1015, 801
20:25:26.919 -> 1081, 1014, 808
20:25:26.952 -> 1084, 1014, 802
20:25:27.018 -> 1078, 1014, 802
20:25:27.052 -> 1079, 1014, 806
20:25:27.118 -> 1084, 1016, 800
20:25:27.184 -> 1086, 1018, 805
20:25:27.218 -> 1149, 1014, 804
20:25:27.284 -> 1081, 1014, 804
20:25:27.317 -> 1085, 1015, 804
20:25:27.384 -> 1078, 1014, 804
20:25:27.417 -> 1079, 1012, 803
20:25:27.484 -> 1079, 1016, 804
20:25:27.517 -> 1086, 1017, 805
20:25:27.584 -> 1085, 1017, 806
20:25:27.617 -> 1084, 1014, 803
20:25:27.683 -> 1086, 1014, 804
20:25:27.717 -> 1081, 1016, 802
20:25:27.783 -> 1079, 1017, 804
20:25:27.816 -> 1083, 1014, 802
20:25:27.883 -> 1082, 1013, 805
20:25:27.950 -> 1082, 1017, 809
20:25:27.983 -> 1078, 1011, 802
20:25:28.049 -> 1101, 1015, 806
20:25:28.083 -> 1082, 1014, 805
20:25:28.149 -> 1084, 1017, 802
20:25:28.182 -> 1084, 1017, 801
20:25:28.249 -> 1079, 1016, 803
20:25:28.282 -> 1081, 1013, 808
20:25:28.349 -> 1086, 1018, 806
20:25:28.382 -> 1086, 1031, 805
20:25:28.449 -> 1077, 1016, 801
20:25:28.482 -> 1086, 1016, 805
20:25:28.549 -> 1085, 1013, 804
20:25:28.582 -> 1082, 1014, 804
20:25:28.648 -> 1079, 1018, 796
20:25:28.715 -> 1079, 1013, 804
20:25:28.748 -> 1081, 1017, 805
20:25:28.815 -> 1074, 1017, 805
20:25:28.848 -> 1085, 1015, 799
20:25:28.915 -> 1083, 1014, 803
20:25:28.948 -> 1083, 1017, 802
20:25:29.015 -> 1081, 1015, 803
20:25:29.048 -> 1086, 1015, 803
20:25:29.114 -> 1081, 1017, 803
20:25:29.148 -> 1081, 1014, 804
20:25:29.214 -> 1087, 1013, 805
20:25:29.248 -> 1085, 1013, 804
20:25:29.314 -> 1078, 1014, 801
20:25:29.348 -> 1083, 1014, 802
20:25:29.414 -> 1092, 1014, 799
20:25:29.447 -> 1082, 1017, 801
20:25:29.514 -> 1069, 1019, 805
20:25:29.580 -> 1082, 1014, 804
20:25:29.614 -> 1084, 1026, 804
20:25:29.680 -> 1081, 1014, 802
20:25:29.713 -> 1082, 1017, 802
20:25:29.780 -> 1079, 1014, 805
20:25:29.813 -> 1085, 1018, 804
20:25:29.880 -> 1084, 1014, 804
20:25:29.913 -> 1082, 1016, 809
20:25:29.979 -> 1081, 1015, 803
20:25:30.013 -> 1085, 1017, 804
20:25:30.079 -> 1085, 1013, 806
20:25:30.112 -> 1086, 1018, 805
20:25:30.179 -> 1084, 1016, 803
20:25:30.212 -> 1199, 1013, 809
20:25:30.279 -> 1084, 1046, 804
20:25:30.346 -> 1081, 1018, 804
20:25:30.379 -> 1079, 1016, 804
20:25:30.445 -> 1082, 1017, 801
20:25:30.478 -> 1080, 1015, 801
20:25:30.545 -> 1083, 1016, 804
20:25:30.578 -> 1084, 995, 803
20:25:30.645 -> 1084, 1016, 802
20:25:30.678 -> 1084, 1014, 803
20:25:30.744 -> 1085, 1017, 801
20:25:30.778 -> 1083, 1014, 804
20:25:30.844 -> 1087, 1016, 803
20:25:30.878 -> 1083, 1014, 808
20:25:30.944 -> 1083, 1014, 804
20:25:30.977 -> 1084, 1017, 804
20:25:31.044 -> 1084, 1008, 806
20:25:31.110 -> 1078, 1013, 802
20:25:31.144 -> 1084, 1014, 805
20:25:31.210 -> 1084, 1017, 802
20:25:31.243 -> 1081, 1016, 803
20:25:31.310 -> 1087, 1017, 805
20:25:31.343 -> 1085, 1014, 807
20:25:31.410 -> 1084, 1015, 804
20:25:31.443 -> 1086, 1013, 805
20:25:31.509 -> 1079, 1014, 800
20:25:31.543 -> 1082, 1013, 801
20:25:31.609 -> 1079, 1014, 801
20:25:31.642 -> 1086, 1016, 802
20:25:31.709 -> 1079, 1014, 808
20:25:31.742 -> 1084, 1005, 801
20:25:31.809 -> 1081, 1015, 802
20:25:31.875 -> 1085, 1016, 801
20:25:31.908 -> 1081, 1014, 803
20:25:31.975 -> 1081, 1015, 803
20:25:32.008 -> 1083, 1013, 801
20:25:32.075 -> 1079, 1014, 802
20:25:32.108 -> 1082, 1014, 803
20:25:32.175 -> 1082, 1012, 802
20:25:32.208 -> 1083, 1016, 804
20:25:32.275 -> 1089, 1018, 802
20:25:32.308 -> 1082, 1014, 802
20:25:32.374 -> 1084, 1014, 804
20:25:32.408 -> 1078, 1015, 802
20:25:32.474 -> 1084, 1015, 802
20:25:32.507 -> 1084, 1017, 806
20:25:32.574 -> 1086, 1015, 804
20:25:32.641 -> 1078, 1016, 805
20:25:32.674 -> 1085, 1015, 806
20:25:32.740 -> 1084, 1017, 801
20:25:32.773 -> 1082, 1002, 808
20:25:32.840 -> 1083, 1013, 802
20:25:32.873 -> 1080, 1017, 803
20:25:32.940 -> 1084, 1014, 804
20:25:32.973 -> 1080, 1017, 803
20:25:33.040 -> 856, 1028, 813
20:25:33.073 -> 1082, 1014, 804
20:25:33.140 -> 1084, 1014, 802
20:25:33.173 -> 1083, 1017, 803
20:25:33.239 -> 1086, 1016, 804
20:25:33.276 -> 1081, 1017, 804
20:25:33.343 -> 1082, 1015, 807
20:25:33.376 -> 1086, 1017, 808
20:25:33.443 -> 1081, 1014, 805
20:25:33.476 -> 1091, 995, 813
20:25:33.543 -> 1086, 1017, 804
20:25:33.609 -> 1084, 1015, 803
20:25:33.643 -> 1083, 1016, 802
20:25:33.709 -> 1085, 1016, 806
20:25:33.742 -> 1082, 1014, 800
20:25:33.809 -> 1084, 1015, 802
20:25:33.842 -> 1086, 1018, 812
20:25:33.909 -> 1082, 1016, 806
20:25:33.942 -> 1085, 1017, 805
20:25:34.009 -> 1085, 1018, 806
20:25:34.042 -> 1082, 1013, 802
20:25:34.109 -> 1083, 1014, 801
20:25:34.142 -> 1082, 1013, 802
20:25:34.208 -> 1085, 1012, 804
20:25:34.242 -> 1079, 1014, 802
20:25:34.308 -> 1082, 1015, 803
20:25:34.375 -> 1085, 1014, 805
20:25:34.408 -> 1083, 1017, 804
20:25:34.475 -> 1084, 1003, 808
20:25:34.508 -> 1084, 1015, 802
20:25:34.574 -> 1076, 1020, 802
20:25:34.608 -> 1084, 1018, 799
20:25:34.674 -> 1076, 1016, 803
20:25:34.707 -> 1083, 1017, 802
20:25:34.774 -> 1085, 1018, 803
20:25:34.807 -> 1123, 1017, 806
20:25:34.874 -> 1084, 1016, 804
20:25:34.907 -> 1086, 1017, 802
20:25:34.974 -> 1085, 1014, 806
20:25:35.007 -> 1082, 1014, 808
20:25:35.073 -> 1083, 1017, 802
20:25:35.140 -> 1083, 1015, 805
20:25:35.173 -> 1084, 1014, 806
20:25:35.240 -> 1084, 1014, 805
20:25:35.273 -> 1164, 1015, 805
20:25:35.340 -> 1079, 1015, 802
20:25:35.373 -> 1082, 1017, 805
20:25:35.439 -> 1076, 1015, 804
20:25:35.473 -> 1082, 1014, 806
20:25:35.539 -> 1084, 1014, 805
20:25:35.572 -> 1082, 1018, 801
20:25:35.639 -> 1085, 1017, 805
20:25:35.672 -> 1082, 1015, 804
20:25:35.739 -> 1078, 1007, 804
20:25:35.772 -> 1083, 1016, 801
20:25:35.839 -> 1085, 1014, 803
20:25:35.905 -> 1083, 1016, 801
20:25:35.938 -> 1082, 1009, 804
20:25:36.005 -> 1075, 1019, 806
20:25:36.038 -> 1084, 1017, 805
20:25:36.105 -> 1082, 1018, 804
20:25:36.138 -> 1078, 1014, 803
20:25:36.205 -> 1084, 1013, 802
20:25:36.238 -> 1084, 1013, 802
20:25:36.304 -> 1075, 1018, 801
20:25:36.338 -> 1086, 1014, 801
20:25:36.404 -> 1084, 1014, 805
20:25:36.438 -> 1082, 1013, 805
20:25:36.504 -> 1078, 1019, 801
20:25:36.537 -> 1080, 1017, 804
20:25:36.604 -> 1078, 1018, 804
20:25:36.637 -> 1085, 1015, 800
20:25:36.704 -> 1120, 1020, 807
20:25:36.770 -> 1081, 1018, 805
20:25:36.804 -> 1082, 1017, 805
20:25:36.870 -> 1084, 1016, 805
20:25:36.904 -> 1084, 1013, 808
20:25:36.970 -> 1086, 1014, 803
20:25:37.003 -> 1085, 1014, 804
20:25:37.070 -> 1085, 1016, 805
20:25:37.103 -> 1077, 1014, 803
20:25:37.170 -> 1095, 1013, 801
20:25:37.203 -> 1078, 1012, 805
20:25:37.269 -> 1086, 1013, 804
20:25:37.303 -> 1084, 1014, 803
20:25:37.369 -> 1082, 1011, 805
20:25:37.402 -> 1084, 1014, 805
20:25:37.469 -> 1081, 1014, 801
20:25:37.535 -> 1083, 1015, 808
20:25:37.569 -> 1090, 1017, 804
20:25:37.635 -> 1081, 1009, 805
20:25:37.668 -> 1083, 1019, 806
