20:23:20.424 -> A, B, C
20:23:49.661 -> 995, 1022, 796
20:23:49.695 -> 1001, 1021, 796
20:23:49.761 -> 994, 1026, 795
20:23:49.827 -> 996, 1022, 793
20:23:49.861 -> 996, 1026, 793
20:23:49.927 -> 992, 1021, 790
20:23:49.960 -> 997, 1022, 794
20:23:50.027 -> 994, 1019, 794
20:23:50.060 -> 992, 1028, 797
20:23:50.127 -> 992, 1023, 797
20:23:50.160 -> 996, 1027, 796
20:23:50.226 -> 989, 1019, 795
20:23:50.260 -> 992, 1028, 797
20:23:50.326 -> 992, 1027, 795
20:23:50.359 -> 992, 1020, 794
20:23:50.426 -> 989, 1020, 793
20:23:50.459 -> 995, 1027, 796
20:23:50.525 -> 996, 1023, 793
20:23:50.592 -> 917, 1020, 796
20:23:50.625 -> 997, 1020, 789
20:23:50.692 -> 994, 1019, 795
20:23:50.725 -> 992, 1022, 789
20:23:50.791 -> 992, 1021, 791
20:23:50.825 -> 991, 1022, 793
20:23:50.891 -> 995, 1022, 792
20:23:50.924 -> 994, 1022, 794
20:23:50.991 -> 992, 1019, 799
20:23:51.024 -> 995, 1021, 798
20:23:51.091 -> 992, 1026, 797
20:23:51.124 -> 995, 1022, 796
20:23:51.190 -> 997, 1021, 795
20:23:51.224 -> 992, 1022, 798
20:23:51.290 -> 998, 1023, 794
20:23:51.357 -> 992, 1022, 797
20:23:51.390 -> 996, 1023, 794
20:23:51.456 -> 993, 1017, 795
20:23:51.490 -> 993, 1021, 797
20:23:51.556 -> 997, 1023, 794
20:23:51.589 -> 996, 1020, 791
20:23:51.656 -> 991, 1021, 791
20:23:51.689 -> 992, 1016, 793
20:23:51.755 -> 996, 1022, 796
20:23:51.789 -> 992, 1021, 793
20:23:51.855 -> 998, 1027, 791
20:23:51.888 -> 993, 1021, 795
20:23:51.955 -> 993, 1023, 795
20:23:51.988 -> 996, 1024, 795
20:23:52.055 -> 997, 1022, 790
20:23:52.121 -> 1000, 1022, 789
20:23:52.154 -> 993, 1020, 792
20:23:52.221 -> 995, 1021, 796
20:23:52.254 -> 997, 1022, 794
20:23:52.320 -> 993, 1022, 794
20:23:52.354 -> 993, 1018, 791
20:23:52.420 -> 990, 1075, 793
20:23:52.453 -> 991, 1025, 795
20:23:52.520 -> 997, 1019, 794
20:23:52.553 -> 992, 1025, 791
20:23:52.619 -> 994, 1024, 794
20:23:52.653 -> 992, 1022, 796
20:23:52.719 -> 993, 1028, 798
20:23:52.785 -> 995, 1016, 796
20:23:52.819 -> 996, 1010, 795
20:23:52.885 -> 1010, 1021, 793
20:23:52.918 -> 993, 1018, 794
20:23:52.985 -> 999, 1022, 793
20:23:53.018 -> 992, 1028, 793
20:23:53.084 -> 992, 1022, 795
20:23:53.118 -> 997, 1021, 792
20:23:53.184 -> 983, 1021, 793
20:23:53.217 -> 997, 1022, 796
20:23:53.283 -> 995, 1019, 792
20:23:53.317 -> 993, 1023, 793
20:23:53.383 -> 998, 1021, 792
20:23:53.416 -> 1000, 1028, 791
20:23:53.483 -> 992, 1028, 794
20:23:53.549 -> 985, 1020, 796
20:23:53.582 -> 993, 1022, 795
20:23:53.649 -> 993, 1022, 794
20:23:53.682 -> 996, 1020, 793
20:23:53.749 -> 989, 1018, 788
20:23:53.782 -> 989, 1027, 796
20:23:53.848 -> 994, 1028, 790
20:23:53.881 -> 995, 1022, 795
20:23:53.948 -> 932, 1022, 795
20:23:53.981 -> 998, 1027, 796
20:23:54.047 -> 994, 1021, 794
20:23:54.080 -> 997, 1021, 799
20:23:54.147 -> 996, 1024, 791
20:23:54.213 -> 994, 1017, 790
20:23:54.247 -> 993, 1030, 797
20:23:54.313 -> 992, 1030, 795
20:23:54.346 -> 996, 1023, 795
20:23:54.413 -> 995, 1028, 798
20:23:54.446 -> 997, 1023, 799
20:23:54.513 -> 993, 1032, 798
20:23:54.546 -> 996, 1028, 795
20:23:54.612 -> 997, 1029, 796
20:23:54.645 -> 994, 1028, 795
20:23:54.712 -> 998, 1029, 794
20:23:54.745 -> 997, 1028, 793
20:23:54.812 -> 998, 1029, 790
20:23:54.845 -> 998, 1023, 795
20:23:54.912 -> 995, 1027, 791
20:23:54.978 -> 998, 1028, 793
20:23:55.011 -> 997, 1027, 796
20:23:55.078 -> 998, 1022, 791
20:23:55.111 -> 999, 1036, 797
20:23:55.177 -> 994, 1029, 796
20:23:55.211 -> 994, 1027, 795
20:23:55.277 -> 995, 1028, 797
20:23:55.310 -> 997, 1012, 795
20:23:55.377 -> 934, 1023, 797
20:23:55.410 -> 996, 1028, 794
20:23:55.477 -> 996, 1029, 796
20:23:55.510 -> 993, 1023, 795
